CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	60540	69434	46.58	129974
2	24	9	72.73	33
3	20	24	45.45	44
4	944	5391	14.90	6335
5	1012	5262	16.13	6274
6	1384	6874	16.76	8258
7	1232	6312	16.33	7544
8	1626	7411	17.99	9037
9	1414	7807	15.33	9221
10	1380	7901	14.87	9281
11	1503	8076	15.69	9579
12	1240	7337	14.46	8577
13	1390	7527	15.59	8917
14	1127	7599	12.92	8726
15	1343	7521	15.15	8864
16	1307	7438	14.95	8745
17	1392	7375	15.88	8767
18	1282	7510	14.58	8792
19	1473	7899	15.72	9372
20	1134	7306	13.44	8440
21	1551	7439	17.25	8990
22	1332	7704	14.74	9036
23	1207	7659	13.61	8866
24	1312	7747	14.48	9059
25	1314	7724	14.54	9038
26	1116	7428	13.06	8544
27	1307	7443	14.94	8750
28	1207	7310	14.17	8517
29	1205	7621	13.65	8826
30	1190	7070	14.41	8260
31	1288	7171	15.23	8459
32	1283	7503	14.60	8786
33	1322	7526	14.94	8848
34	1393	7028	16.54	8421
35	1501	7389	16.88	8890
36	1281	7174	15.15	8455
37	1135	6725	14.44	7860
38	1028	6287	14.05	7315
39	1263	7265	14.81	8528
40	1382	7077	16.34	8459

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	158	275	36.49	433
2	30	117	20.41	147
3	32	131	19.63	163
4	377	7488	4.79	7865
5	268	8527	3.05	8795
6	298	9185	3.14	9483
7	253	9901	2.49	10154
8	238	10859	2.14	11097
9	171	9972	1.69	10143
10	177	10079	1.73	10256
11	183	10032	1.79	10215
12	158	9891	1.57	10049
13	144	9990	1.42	10134
14	159	9781	1.60	9940
15	175	10408	1.65	10583
16	158	9830	1.58	9988
17	168	10520	1.57	10688
18	171	10760	1.56	10931
19	142	10180	1.38	10322
20	171	10516	1.60	10687
21	154	11232	1.35	11386
22	129	10649	1.20	10778
23	137	10047	1.35	10184
24	153	10917	1.38	11070
25	162	10139	1.57	10301
26	149	10226	1.44	10375
27	138	10443	1.30	10581
28	185	10379	1.75	10564
29	162	10245	1.56	10407
30	166	10144	1.61	10310
31	151	10720	1.39	10871
32	160	9955	1.58	10115
33	155	10735	1.42	10890
34	155	10432	1.46	10587
35	154	10120	1.50	10274
36	148	10043	1.45	10191
37	146	9801	1.47	9947
38	84	6325	1.31	6409
39	88	6612	1.31	6700
40	162	10743	1.49	10905

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	165	321	33.95	486
2	96	296	24.49	392
3	68	261	20.67	329
4	674	13420	4.78	14094
5	537	14236	3.64	14773
6	553	17733	3.02	18286
7	510	18115	2.74	18625
8	401	17152	2.28	17553
9	357	16985	2.06	17342
10	315	16295	1.90	16610
11	327	16709	1.92	17036
12	291	16923	1.69	17214
13	287	17447	1.62	17734
14	304	17819	1.68	18123
15	288	18730	1.51	19018
16	318	18737	1.67	19055
17	286	17984	1.57	18270
18	278	18283	1.50	18561
19	283	17788	1.57	18071
20	293	17495	1.65	17788
21	276	17861	1.52	18137
22	256	17021	1.48	17277
23	251	17296	1.43	17547
24	269	18143	1.46	18412
25	297	18089	1.62	18386
26	264	18503	1.41	18767
27	272	18419	1.46	18691
28	284	18087	1.55	18371
29	296	17845	1.63	18141
30	279	18507	1.49	18786
31	274	18163	1.49	18437
32	255	17558	1.43	17813
33	265	17789	1.47	18054
34	262	17881	1.44	18143
35	268	17594	1.50	17862
36	251	17399	1.42	17650
37	248	15684	1.56	15932
38	206	13191	1.54	13397
39	190	14244	1.32	14434
40	269	17401	1.52	17670

